Timestamp	Board	ChangeType	Name
2022-07-10T18:51:45.939+00:00	mainboard	add	Reanimate
2022-07-10T18:51:45.939+00:00	mainboard	add	Thoughtseize
2022-07-10T18:51:45.939+00:00	mainboard	add	Demonic Tutor
2022-07-10T18:51:45.939+00:00	mainboard	add	Exhume
2022-07-10T18:51:45.939+00:00	mainboard	add	Hymn to Tourach
2022-07-10T18:51:45.939+00:00	mainboard	add	Toxic Deluge
2022-07-10T18:51:45.939+00:00	mainboard	add	Damnation
2022-07-10T18:51:45.939+00:00	mainboard	add	Tendrils of Agony
2022-07-10T18:51:45.939+00:00	mainboard	add	Animate Dead
2022-07-10T18:51:45.939+00:00	mainboard	add	Bitterblossom
2022-07-10T18:51:45.939+00:00	mainboard	add	Necromancy
2022-07-10T18:51:45.939+00:00	mainboard	add	Recurring Nightmare
2022-07-10T18:51:45.939+00:00	mainboard	add	Goblin Guide
2022-07-10T18:51:45.939+00:00	mainboard	add	Goblin Welder
2022-07-10T18:51:45.939+00:00	mainboard	add	Grim Lavamancer
2022-07-10T18:51:45.939+00:00	mainboard	add	Monastery Swiftspear
2022-07-10T18:51:45.939+00:00	mainboard	add	Dire Fleet Daredevil
2022-07-10T18:51:45.939+00:00	mainboard	add	Runaway Steam-Kin
2022-07-10T18:51:45.939+00:00	mainboard	add	Young Pyromancer
2022-07-10T18:51:45.939+00:00	mainboard	add	Imperial Recruiter
2022-07-10T18:51:45.939+00:00	mainboard	add	Hellrider
2022-07-10T18:51:45.939+00:00	mainboard	add	Kiki-Jiki, Mirror Breaker
2022-07-10T18:51:45.939+00:00	mainboard	add	Zealous Conscripts
2022-07-10T18:51:45.939+00:00	mainboard	add	Daretti, Scrap Savant
2022-07-10T18:51:45.939+00:00	mainboard	add	Koth of the Hammer
2022-07-10T18:51:45.939+00:00	mainboard	add	Burst Lightning
2022-07-10T18:51:45.939+00:00	mainboard	add	Lightning Bolt
2022-07-10T18:51:45.939+00:00	mainboard	add	Abrade
2022-07-10T18:51:45.939+00:00	mainboard	add	Seething Song
2022-07-10T18:51:45.939+00:00	mainboard	add	Chain Lightning
2022-07-10T18:51:45.939+00:00	mainboard	add	Faithless Looting
2022-07-10T18:51:45.939+00:00	mainboard	add	Firebolt
2022-07-10T18:51:45.939+00:00	mainboard	add	Past in Flames
2022-07-10T18:51:45.939+00:00	mainboard	add	Mana Flare
2022-07-10T18:51:45.939+00:00	mainboard	add	Sulfuric Vortex
2022-07-10T18:51:45.939+00:00	mainboard	add	Sneak Attack
2022-07-10T18:51:45.939+00:00	mainboard	add	Splinter Twin
2022-07-10T18:51:45.939+00:00	mainboard	add	Arbor Elf
2022-07-10T18:51:45.939+00:00	mainboard	add	Birds of Paradise
2022-07-10T18:51:45.939+00:00	mainboard	add	Elvish Mystic
2022-07-10T18:51:45.939+00:00	mainboard	add	Fyndhorn Elves
2022-07-10T18:51:45.939+00:00	mainboard	add	Joraga Treespeaker
2022-07-10T18:51:45.939+00:00	mainboard	add	Llanowar Elves
2022-07-10T18:51:45.939+00:00	mainboard	add	Noble Hierarch
2022-07-10T18:51:45.939+00:00	mainboard	add	Devoted Druid
2022-07-10T18:51:45.939+00:00	mainboard	add	Rofellos, Llanowar Emissary
2022-07-10T18:51:45.939+00:00	mainboard	add	Scavenging Ooze
2022-07-10T18:51:45.939+00:00	mainboard	add	Courser of Kruphix
2022-07-10T18:51:45.939+00:00	mainboard	add	Eternal Witness
2022-07-10T18:51:45.939+00:00	mainboard	add	Ramunap Excavator
2022-07-10T18:51:45.939+00:00	mainboard	add	Reclamation Sage
2022-07-10T18:51:45.939+00:00	mainboard	add	Tireless Tracker
2022-07-10T18:51:45.939+00:00	mainboard	add	Oracle of Mul Daya
2022-07-10T18:51:45.939+00:00	mainboard	add	Acidic Slime
2022-07-10T18:51:45.939+00:00	mainboard	add	Thragtusk
2022-07-10T18:51:45.939+00:00	mainboard	add	Primeval Titan
2022-07-10T18:51:45.939+00:00	mainboard	add	Avenger of Zendikar
2022-07-10T18:51:45.939+00:00	mainboard	add	Craterhoof Behemoth
2022-07-10T18:51:45.939+00:00	mainboard	add	Terastodon
2022-07-10T18:51:45.939+00:00	mainboard	add	Woodfall Primus
2022-07-10T18:51:45.939+00:00	mainboard	add	Garruk Wildspeaker
2022-07-10T18:51:45.939+00:00	mainboard	add	Channel
2022-07-10T18:51:45.939+00:00	mainboard	add	Regrowth
2022-07-10T18:51:45.939+00:00	mainboard	add	Natural Order
2022-07-10T18:51:45.939+00:00	mainboard	add	Plow Under
2022-07-10T18:51:45.939+00:00	mainboard	add	Green Sun's Zenith
2022-07-10T18:51:45.939+00:00	mainboard	add	Finale of Devastation
2022-07-10T18:51:45.939+00:00	mainboard	add	Fastbond
2022-07-10T18:51:45.939+00:00	mainboard	add	Oath of Druids
2022-07-10T18:51:45.939+00:00	mainboard	add	Survival of the Fittest
2022-07-10T18:51:45.939+00:00	mainboard	add	Heartbeat of Spring
2022-07-10T18:51:45.939+00:00	mainboard	add	Gaea's Cradle
2022-07-10T18:51:45.939+00:00	mainboard	add	Teferi, Hero of Dominaria
2022-07-10T18:51:45.939+00:00	mainboard	add	Fractured Identity
2022-07-10T18:51:45.939+00:00	mainboard	add	Celestial Colonnade
2022-07-10T18:51:45.939+00:00	mainboard	add	Flooded Strand
2022-07-10T18:51:45.939+00:00	mainboard	add	Hallowed Fountain
2022-07-10T18:51:45.939+00:00	mainboard	add	Seachrome Coast
2022-07-10T18:51:45.939+00:00	mainboard	add	Tundra
2022-07-10T18:51:45.939+00:00	mainboard	add	Baleful Strix
2022-07-10T18:51:45.939+00:00	mainboard	add	Darkslick Shores
2022-07-10T18:51:45.939+00:00	mainboard	add	Polluted Delta
2022-07-10T18:51:45.939+00:00	mainboard	add	Underground Sea
2022-07-10T18:51:45.939+00:00	mainboard	add	Watery Grave
2022-07-10T18:51:45.939+00:00	mainboard	add	Daretti, Ingenious Iconoclast
2022-07-10T18:51:45.939+00:00	mainboard	add	Kolaghan's Command
2022-07-10T18:51:45.939+00:00	mainboard	add	Badlands
2022-07-10T18:51:45.939+00:00	mainboard	add	Blackcleave Cliffs
2022-07-10T18:51:45.939+00:00	mainboard	add	Blood Crypt
2022-07-10T18:51:45.939+00:00	mainboard	add	Bloodstained Mire
2022-07-10T18:51:45.939+00:00	mainboard	add	Manamorphose
2022-07-10T18:51:45.939+00:00	mainboard	add	Copperline Gorge
2022-07-10T18:51:45.939+00:00	mainboard	add	Stomping Ground
2022-07-10T18:51:45.939+00:00	mainboard	add	Taiga
2022-07-10T18:51:45.939+00:00	mainboard	add	Wooded Foothills
2022-07-10T18:51:45.939+00:00	mainboard	add	Kitchen Finks
2022-07-10T18:51:45.939+00:00	mainboard	add	Knight of Autumn
2022-07-10T18:51:45.939+00:00	mainboard	add	Mirari's Wake
2022-07-10T18:51:45.939+00:00	mainboard	add	Razorverge Thicket
